Country of Residence,Approved,Refused,Approval rate,2019 Total,Year
Grand Total,253009.0,169695.0,60%,422704.0,2019
Afghanistan,24.0,267.0,8%,291.0,2019
Albania,277.0,216.0,56%,493.0,2019
Algeria,2486.0,8449.0,23%,10935.0,2019
Andorra,3.0,1.0,75%,4.0,2019
Angola,23.0,84.0,21%,107.0,2019
Anguilla,2.0,1.0,67%,3.0,2019
Antigua and Barbuda,45.0,23.0,66%,68.0,2019
Argentina,216.0,33.0,87%,249.0,2019
Armenia,23.0,35.0,40%,58.0,2019
Aruba,17.0,3.0,85%,20.0,2019
Australia,260.0,36.0,88%,296.0,2019
Austria,100.0,19.0,84%,119.0,2019
Azerbaijan,86.0,157.0,35%,243.0,2019
Azores,1.0,,100%,1.0,2019
"Bahama Islands, The",587.0,160.0,79%,747.0,2019
Bahrain,84.0,41.0,67%,125.0,2019
Bailwick of Jersey,3.0,1.0,75%,4.0,2019
Bangladesh,3031.0,4140.0,42%,7171.0,2019
Barbados,217.0,33.0,87%,250.0,2019
Belarus,58.0,27.0,68%,85.0,2019
Belgium,423.0,55.0,88%,478.0,2019
Belize,39.0,30.0,57%,69.0,2019
Bermuda,96.0,23.0,81%,119.0,2019
Bhutan,104.0,19.0,85%,123.0,2019
Bolivia,78.0,28.0,74%,106.0,2019
"Bonaire, Sin Eustatius And Saba",,,,,2019
Bosnia-Hercegovina,23.0,7.0,77%,30.0,2019
"Botswana, Republic of",42.0,22.0,66%,64.0,2019
Bouvet Island,5.0,,100%,5.0,2019
Brazil,6878.0,1375.0,83%,8253.0,2019
Brunei,14.0,6.0,70%,20.0,2019
Bulgaria,45.0,13.0,78%,58.0,2019
Burkina-Faso,298.0,487.0,38%,785.0,2019
Burundi,212.0,1513.0,12%,1725.0,2019
Cambodia,77.0,51.0,60%,128.0,2019
Canada,15.0,6.0,71%,21.0,2019
Canary Islands,1.0,1.0,50%,2.0,2019
Cape Verde Islands,3.0,,100%,3.0,2019
Cayman Islands,33.0,10.0,77%,43.0,2019
Central African Republic,17.0,80.0,18%,97.0,2019
"Chad, Republic of",29.0,173.0,14%,202.0,2019
Channel Islands,3.0,1.0,75%,4.0,2019
Chile,321.0,69.0,82%,390.0,2019
Christmas Island,1.0,4.0,20%,5.0,2019
Colombia,3550.0,1051.0,77%,4601.0,2019
Commonwealth of the Northern Mariana Islands,1.0,,100%,1.0,2019
Comoros,13.0,30.0,30%,43.0,2019
"Congo, Democratic Republic of the",984.0,3919.0,20%,4903.0,2019
"Congo, People's Republic of the",83.0,568.0,13%,651.0,2019
Cook Islands,1.0,,100%,1.0,2019
Costa Rica,76.0,42.0,64%,118.0,2019
Croatia,18.0,5.0,78%,23.0,2019
Cuba,57.0,76.0,43%,133.0,2019
Curacao,4.0,3.0,57%,7.0,2019
Cyprus,14.0,5.0,74%,19.0,2019
Czech Republic,117.0,10.0,92%,127.0,2019
Czechoslovakia,2.0,,100%,2.0,2019
Democratic Republic of Sudan,29.0,106.0,21%,135.0,2019
Denmark,84.0,14.0,86%,98.0,2019
Dominica,23.0,8.0,74%,31.0,2019
Dominican Republic,197.0,222.0,47%,419.0,2019
"East Timor, Democratic Republic of",,,,,2019
Ecuador,561.0,129.0,81%,690.0,2019
Egypt,771.0,662.0,54%,1433.0,2019
El Salvador,147.0,95.0,61%,242.0,2019
Equatorial Guinea,4.0,16.0,20%,20.0,2019
Eritrea,10.0,40.0,20%,50.0,2019
Estonia,4.0,1.0,80%,5.0,2019
Ethiopia,179.0,1156.0,13%,1335.0,2019
Falkland Islands,2.0,,100%,2.0,2019
Faroe Islands,1.0,,100%,1.0,2019
Federal Republic of Cameroon,1015.0,5210.0,16%,6225.0,2019
Federal Republic of Germany,1948.0,210.0,90%,2158.0,2019
Federated States of Micronesia,,,,,2019
Fiji,9.0,11.0,45%,20.0,2019
Finland,106.0,10.0,91%,116.0,2019
France,9529.0,736.0,93%,10265.0,2019
French Guiana,10.0,5.0,67%,15.0,2019
French Polynesia,47.0,8.0,85%,55.0,2019
Gabon Republic,71.0,156.0,31%,227.0,2019
Gambia,56.0,341.0,14%,397.0,2019
Georgia,12.0,24.0,33%,36.0,2019
Ghana,948.0,1852.0,34%,2800.0,2019
Gibraltar,3.0,1.0,75%,4.0,2019
Greece,90.0,16.0,85%,106.0,2019
Greenland,2.0,2.0,50%,4.0,2019
Grenada,16.0,11.0,59%,27.0,2019
Guadeloupe,109.0,23.0,83%,132.0,2019
Guam,1.0,,100%,1.0,2019
Guatemala,55.0,29.0,65%,84.0,2019
Guernsey,1.0,1.0,50%,2.0,2019
"Guinea, Republic of",293.0,2268.0,11%,2561.0,2019
Guinea-Bissau,2.0,8.0,20%,10.0,2019
Guyana,252.0,71.0,78%,323.0,2019
Haiti,227.0,1126.0,17%,1353.0,2019
Holy See,,,,,2019
Honduras,92.0,91.0,50%,183.0,2019
Hong Kong SAR,1176.0,219.0,84%,1395.0,2019
Hungary,70.0,21.0,77%,91.0,2019
Iceland,50.0,25.0,67%,75.0,2019
India,110049.0,62976.0,64%,173025.0,2019
Iran,6177.0,7969.0,44%,14146.0,2019
Iraq,100.0,518.0,16%,618.0,2019
Isle of Man,1.0,1.0,50%,2.0,2019
Israel,272.0,51.0,84%,323.0,2019
Italy,906.0,77.0,92%,983.0,2019
Jamaica,1401.0,524.0,73%,1925.0,2019
Japan,4742.0,186.0,96%,4928.0,2019
Jordan,530.0,996.0,35%,1526.0,2019
Kazakhstan,411.0,245.0,63%,656.0,2019
Kenya,675.0,1641.0,29%,2316.0,2019
Kiribati,1.0,,100%,1.0,2019
"Korea, People's Democratic Republic of",2.0,,100%,2.0,2019
"Korea, Republic of",9219.0,479.0,95%,9698.0,2019
"Kosovo, Republic of",20.0,30.0,40%,50.0,2019
Kuwait,299.0,242.0,55%,541.0,2019
Kyrgyzstan,52.0,74.0,41%,126.0,2019
Laos,8.0,4.0,67%,12.0,2019
Latvia,20.0,5.0,80%,25.0,2019
Lebanon,338.0,358.0,49%,696.0,2019
Lesotho,4.0,5.0,44%,9.0,2019
Liberia,9.0,53.0,15%,62.0,2019
Libya,81.0,200.0,29%,281.0,2019
Liechtenstein,1.0,,100%,1.0,2019
Lithuania,23.0,7.0,77%,30.0,2019
Luxembourg,30.0,1.0,97%,31.0,2019
Macao SAR,91.0,7.0,93%,98.0,2019
Macedonia,14.0,25.0,36%,39.0,2019
Madagascar,161.0,218.0,42%,379.0,2019
Madeira,,,,,2019
Malawi,15.0,22.0,41%,37.0,2019
Malaysia,386.0,63.0,86%,449.0,2019
"Maldives, Republic of",6.0,4.0,60%,10.0,2019
"Mali, Republic of",303.0,547.0,36%,850.0,2019
Malta,5.0,1.0,83%,6.0,2019
Martinique,87.0,10.0,90%,97.0,2019
Mauritania,28.0,177.0,14%,205.0,2019
Mauritius,425.0,301.0,59%,726.0,2019
Mayotte,4.0,,100%,4.0,2019
Mexico,4660.0,1098.0,81%,5758.0,2019
Moldova,52.0,42.0,55%,94.0,2019
Monaco,11.0,,100%,11.0,2019
"Mongolia, People's Republic of",90.0,129.0,41%,219.0,2019
"Montenegro, Republic of",4.0,3.0,57%,7.0,2019
Morocco,2378.0,1824.0,57%,4202.0,2019
Mozambique,12.0,16.0,43%,28.0,2019
Myanmar (Burma),99.0,39.0,72%,138.0,2019
Namibia,8.0,22.0,27%,30.0,2019
Nepal,667.0,2054.0,25%,2721.0,2019
New Caledonia,31.0,3.0,91%,34.0,2019
New Zealand,68.0,10.0,87%,78.0,2019
Nicaragua,42.0,44.0,49%,86.0,2019
Nigeria,3155.0,14933.0,17%,18088.0,2019
Niue,1.0,2.0,33%,3.0,2019
Norway,100.0,14.0,88%,114.0,2019
Oman,162.0,41.0,80%,203.0,2019
Other Countries,67.0,206.0,25%,273.0,2019
Pakistan,1004.0,2412.0,29%,3416.0,2019
Palestinian Authority (Gaza/West Bank),40.0,131.0,23%,171.0,2019
"Panama, Republic of",158.0,38.0,81%,196.0,2019
Papau New Guinea,1.0,1.0,50%,2.0,2019
Paraguay,11.0,7.0,61%,18.0,2019
Peoples Republic of Benin,344.0,561.0,38%,905.0,2019
People's Republic of China,29441.0,5299.0,85%,34740.0,2019
Peru,514.0,179.0,74%,693.0,2019
Philippines,5168.0,3207.0,62%,8375.0,2019
Pitcairn Island,,2.0,0%,2.0,2019
Poland,104.0,21.0,83%,125.0,2019
Portugal,45.0,7.0,87%,52.0,2019
Puerto Rico,8.0,9.0,47%,17.0,2019
Qatar,120.0,85.0,59%,205.0,2019
Republic of Djibouti,25.0,111.0,18%,136.0,2019
Republic of Indonesia,808.0,214.0,79%,1022.0,2019
Republic of Ireland,101.0,8.0,93%,109.0,2019
Republic of Ivory Coast,936.0,1796.0,34%,2732.0,2019
Republic of Palau,1.0,2.0,33%,3.0,2019
Republic of South Africa,453.0,272.0,62%,725.0,2019
Republic of The Marshall Islands,1.0,,100%,1.0,2019
Republic of the Niger,88.0,152.0,37%,240.0,2019
Reunion,176.0,8.0,96%,184.0,2019
Romania,64.0,21.0,75%,85.0,2019
Russia,971.0,360.0,73%,1331.0,2019
Rwanda,448.0,1420.0,24%,1868.0,2019
Saint-Barthelemy,,,,,2019
Saint-Martin,24.0,6.0,80%,30.0,2019
San Marino,1.0,,100%,1.0,2019
Sao Tome and Principe,,,,,2019
Saudi Arabia,1008.0,709.0,59%,1717.0,2019
Senegal,778.0,2296.0,25%,3074.0,2019
Serbia and Montenegro,1.0,4.0,20%,5.0,2019
"Serbia, Republic of",80.0,24.0,77%,104.0,2019
Seychelles,1.0,,100%,1.0,2019
