Country of Residence,Approved,Refused,Approval rate,2020 Total,Year
Grand Total,110630.0,107391.0,51%,218021.0,2020
Afghanistan,10.0,115.0,8%,125.0,2020
Albania,110.0,283.0,28%,393.0,2020
Algeria,1417.0,8120.0,15%,9537.0,2020
Andorra,2.0,,100%,2.0,2020
Angola,6.0,38.0,14%,44.0,2020
Anguilla,,,,,2020
Antigua and Barbuda,16.0,7.0,70%,23.0,2020
Argentina,123.0,34.0,78%,157.0,2020
Armenia,8.0,11.0,42%,19.0,2020
Aruba,9.0,,100%,9.0,2020
Australia,125.0,20.0,86%,145.0,2020
Austria,128.0,1.0,99%,129.0,2020
Azerbaijan,92.0,80.0,53%,172.0,2020
Azores,,,,,2020
"Bahama Islands, The",259.0,25.0,91%,284.0,2020
Bahrain,35.0,33.0,51%,68.0,2020
Bailwick of Jersey,,1.0,0%,1.0,2020
Bangladesh,1478.0,2476.0,37%,3954.0,2020
Barbados,130.0,5.0,96%,135.0,2020
Belarus,32.0,12.0,73%,44.0,2020
Belgium,369.0,25.0,94%,394.0,2020
Belize,7.0,8.0,47%,15.0,2020
Bermuda,34.0,1.0,97%,35.0,2020
Bhutan,49.0,5.0,91%,54.0,2020
Bolivia,40.0,28.0,59%,68.0,2020
"Bonaire, Sin Eustatius And Saba",,,,,2020
Bosnia-Hercegovina,12.0,13.0,48%,25.0,2020
"Botswana, Republic of",21.0,20.0,51%,41.0,2020
Bouvet Island,,,,,2020
Brazil,1363.0,855.0,61%,2218.0,2020
Brunei,3.0,4.0,43%,7.0,2020
Bulgaria,20.0,4.0,83%,24.0,2020
Burkina-Faso,204.0,393.0,34%,597.0,2020
Burundi,74.0,593.0,11%,667.0,2020
Cambodia,45.0,15.0,75%,60.0,2020
Canada,5.0,8.0,38%,13.0,2020
Canary Islands,,1.0,0%,1.0,2020
Cape Verde Islands,,3.0,0%,3.0,2020
Cayman Islands,7.0,1.0,88%,8.0,2020
Central African Republic,4.0,37.0,10%,41.0,2020
"Chad, Republic of",13.0,92.0,12%,105.0,2020
